chokepoint_id,ship_type,entry_sog_kn,queue_depth,hour_of_day,day_of_week,month,recent_throughput_24h,bbox_diagonal_km,transit_minutes,entry_ts,_synthetic
Panama Canal,tanker,7.09,9,3,4,3,23,400.0,638.6,1709264139.8,True
Panama Canal,tanker,6.31,12,13,5,1,41,400.0,715.7,1705152913.5,True
Panama Canal,unknown,12.64,11,16,3,3,39,400.0,562.8,1711644267.5,True
Panama Canal,unknown,8.42,7,5,3,1,31,400.0,491.3,1704346349.7,True
Panama Canal,other,12.41,8,6,4,3,35,400.0,510.4,1711088843.7,True
Panama Canal,container,9.97,7,3,6,2,9,400.0,400.7,1708226568.0,True
Panama Canal,unknown,11.94,8,23,6,1,38,400.0,594.4,1706482846.9,True
Panama Canal,unknown,12.01,13,16,4,3,55,400.0,633.0,1710521429.1,True
Panama Canal,other,14.68,11,21,6,2,36,400.0,353.0,1708293421.7,True
Panama Canal,tanker,14.12,10,13,4,2,30,400.0,619.2,1706878994.1,True
Panama Canal,bulker,12.16,7,2,6,2,19,400.0,638.9,1708827830.6,True
Panama Canal,tanker,13.96,4,6,0,3,7,400.0,410.7,1711346911.8,True
Panama Canal,container,12.63,11,4,2,2,56,400.0,579.5,1708488398.1,True
Panama Canal,tanker,14.42,15,18,0,3,55,400.0,901.2,1710786728.0,True
Panama Canal,tanker,10.48,9,1,6,2,29,400.0,671.1,1707008937.2,True
Panama Canal,tanker,12.64,13,3,4,2,33,400.0,657.7,1707447891.8,True
Panama Canal,container,10.79,10,18,2,2,40,400.0,291.3,1707936908.5,True
Panama Canal,bulker,7.52,11,23,2,2,40,400.0,600.4,1707346852.9,True
Panama Canal,tanker,9.52,8,5,0,2,28,400.0,576.2,1707714183.5,True
Panama Canal,container,16.75,9,12,3,2,39,400.0,618.9,1707396648.9,True
Panama Canal,other,12.15,6,10,2,3,17,400.0,431.0,1711536724.2,True
Panama Canal,tanker,11.27,2,9,5,1,7,400.0,369.0,1705742890.2,True
Panama Canal,tanker,7.36,18,12,3,1,58,400.0,945.9,1706186832.6,True
Panama Canal,tanker,12.94,11,10,2,3,39,400.0,687.9,1710932051.6,True
Panama Canal,container,10.94,7,14,3,1,12,400.0,348.6,1706193389.4,True
Panama Canal,container,12.78,5,9,0,3,21,400.0,330.5,1710149674.3,True
Panama Canal,bulker,12.25,9,20,1,1,28,400.0,552.0,1705438541.0,True
Panama Canal,bulker,13.24,12,18,4,1,44,400.0,513.0,1705085003.2,True
Panama Canal,unknown,6.16,8,19,2,2,33,400.0,288.6,1707939118.1,True
Panama Canal,tanker,14.0,14,5,1,3,51,400.0,545.9,1710221526.8,True
Panama Canal,tanker,8.09,13,3,2,2,44,400.0,606.0,1708485269.3,True
Panama Canal,bulker,10.35,16,12,5,3,55,400.0,769.0,1711802953.1,True
Panama Canal,bulker,8.99,2,11,0,3,2,400.0,388.9,1711367350.4,True
Panama Canal,other,7.56,8,10,1,3,26,400.0,429.4,1711448906.4,True
Panama Canal,container,11.35,8,19,2,1,20,400.0,371.0,1706125598.3,True
Panama Canal,container,12.82,10,19,2,3,42,400.0,514.9,1711567298.9,True
Panama Canal,tanker,7.84,4,1,6,2,19,400.0,503.2,1707009000.9,True
Panama Canal,tanker,12.38,9,17,4,1,24,400.0,557.0,1705684593.0,True
Panama Canal,container,9.86,6,23,2,1,19,400.0,295.3,1705535592.0,True
Panama Canal,unknown,11.8,11,11,4,3,43,400.0,697.1,1711710908.2,True
Panama Canal,tanker,7.45,15,19,1,1,47,400.0,835.9,1704827599.5,True
Panama Canal,bulker,11.72,8,16,4,3,18,400.0,524.0,1711124735.6,True
Panama Canal,container,6.56,21,4,1,2,59,400.0,764.0,1707193523.7,True
Panama Canal,other,11.48,14,11,0,3,43,400.0,476.2,1710155071.4,True
Panama Canal,other,8.92,5,1,1,3,25,400.0,398.7,1710812285.4,True
Panama Canal,container,11.02,13,13,2,3,41,400.0,486.7,1709731043.7,True
Panama Canal,container,11.13,4,14,3,1,9,400.0,432.7,1704983554.2,True
Panama Canal,container,12.34,15,4,5,3,45,400.0,635.3,1711167883.6,True
Panama Canal,unknown,11.32,13,10,2,3,58,400.0,552.3,1711537030.0,True
Panama Canal,unknown,11.56,7,19,4,3,28,400.0,487.9,1711739225.1,True
Panama Canal,other,12.13,10,4,4,3,38,400.0,418.9,1711687513.1,True
Panama Canal,other,7.25,8,15,4,3,24,400.0,443.7,1710518133.9,True
Panama Canal,container,11.62,7,8,3,2,10,400.0,494.5,1706775393.3,True
Panama Canal,container,7.88,7,23,0,3,12,400.0,394.1,1710805950.3,True
Panama Canal,container,9.77,5,10,2,1,27,400.0,198.6,1704278568.3,True
Panama Canal,unknown,13.56,11,10,5,2,38,400.0,535.2,1707562762.7,True
Panama Canal,unknown,11.32,5,16,5,1,7,400.0,371.2,1705163828.3,True
Panama Canal,unknown,9.34,4,2,1,1,6,400.0,467.4,1704767050.8,True
Panama Canal,unknown,11.09,10,5,3,2,28,400.0,548.5,1708579147.9,True
Panama Canal,tanker,7.58,13,6,5,2,37,400.0,616.5,1707546126.0,True
Panama Canal,other,7.72,12,4,1,1,33,400.0,537.9,1705982835.0,True
Panama Canal,unknown,9.06,13,16,6,1,52,400.0,585.6,1706459606.7,True
Panama Canal,container,16.67,16,21,0,2,58,400.0,686.3,1708377324.7,True
Panama Canal,container,8.37,5,10,5,3,10,400.0,281.7,1709375005.2,True
Panama Canal,container,11.18,8,20,3,3,31,400.0,585.0,1709844039.5,True
Panama Canal,other,8.2,10,6,2,2,23,400.0,600.7,1707891534.6,True
Panama Canal,unknown,14.03,12,22,5,3,39,400.0,487.4,1711234222.4,True
Panama Canal,other,11.68,9,13,1,1,21,400.0,373.1,1704807378.3,True
Panama Canal,container,9.89,7,21,6,1,24,400.0,462.2,1705266905.6,True
Panama Canal,container,12.19,2,8,5,3,0,400.0,292.0,1709974184.4,True
Panama Canal,bulker,10.98,11,3,6,1,54,400.0,576.5,1705808601.5,True
Panama Canal,unknown,5.73,8,9,5,2,24,400.0,586.4,1708163388.6,True
Panama Canal,unknown,14.9,13,6,6,1,53,400.0,617.8,1706424899.3,True
Panama Canal,container,12.45,11,21,0,1,43,400.0,557.5,1706562130.2,True
Panama Canal,tanker,11.03,7,0,2,1,13,400.0,397.7,1706660884.2,True
Panama Canal,bulker,10.04,5,8,5,3,17,400.0,395.1,1709971836.4,True
Panama Canal,tanker,9.27,11,20,5,1,23,400.0,700.3,1704572226.2,True
Panama Canal,other,14.53,5,0,5,2,11,400.0,421.7,1707525094.1,True
Panama Canal,bulker,11.59,8,8,4,3,25,400.0,485.1,1711095959.0,True
Panama Canal,container,12.82,2,18,1,3,9,400.0,395.9,1711478881.8,True
Panama Canal,container,11.25,8,16,3,2,30,400.0,477.0,1706806004.3,True
Panama Canal,container,13.56,12,22,2,3,34,400.0,483.7,1710369801.3,True
Panama Canal,tanker,12.13,3,2,6,1,18,400.0,317.3,1705805838.3,True
Panama Canal,unknown,12.55,9,15,6,3,33,400.0,525.2,1711295559.0,True
Panama Canal,tanker,12.27,6,12,4,3,7,400.0,263.2,1711111495.7,True
Panama Canal,other,10.21,14,13,2,2,45,400.0,570.0,1707311764.1,True
Panama Canal,unknown,8.02,9,12,0,2,32,400.0,446.5,1707741116.4,True
Panama Canal,other,8.84,8,18,5,1,33,400.0,382.7,1705774650.9,True
Panama Canal,unknown,9.0,7,15,6,3,16,400.0,473.9,1710690191.7,True
Panama Canal,bulker,9.12,2,13,6,1,7,400.0,293.9,1705238252.3,True
Panama Canal,container,9.37,2,15,4,1,0,400.0,212.2,1706284311.8,True
Panama Canal,container,11.41,7,13,2,2,15,400.0,408.7,1709127778.7,True
Panama Canal,container,10.78,10,6,4,1,33,400.0,572.7,1704435568.6,True
Panama Canal,container,7.65,16,21,2,1,48,400.0,539.0,1704316371.0,True
Panama Canal,bulker,9.6,10,2,6,2,35,400.0,564.3,1707617312.0,True
Panama Canal,tanker,8.98,6,8,4,2,27,400.0,511.3,1708072877.1,True
Panama Canal,other,11.98,10,2,5,2,54,400.0,533.1,1708743474.6,True
Panama Canal,tanker,12.09,7,19,3,1,30,400.0,404.6,1704396483.4,True
Panama Canal,container,12.56,14,17,5,2,48,400.0,758.3,1707585901.7,True
Panama Canal,tanker,10.93,10,2,1,3,43,400.0,637.6,1711418759.3,True
Panama Canal,other,10.83,10,9,3,3,17,400.0,429.6,1711618746.9,True
Panama Canal,tanker,14.27,8,2,0,2,21,400.0,587.5,1707098980.5,True
Panama Canal,container,13.49,8,0,4,1,28,400.0,479.1,1705623826.4,True
Panama Canal,other,7.55,6,12,1,3,18,400.0,477.5,1709640661.6,True
Panama Canal,tanker,7.94,13,20,2,1,52,400.0,892.3,1706731648.7,True
Panama Canal,other,6.47,8,14,2,3,44,400.0,402.0,1710341998.3,True
Panama Canal,tanker,10.23,11,15,0,1,30,400.0,694.3,1705333572.5,True
Panama Canal,bulker,7.48,8,19,2,1,17,400.0,507.6,1706124529.6,True
Panama Canal,bulker,11.13,9,8,3,1,26,400.0,486.6,1705567514.9,True
Panama Canal,unknown,13.56,10,4,4,1,32,400.0,543.7,1705638840.8,True
Panama Canal,unknown,12.57,10,15,6,3,44,400.0,612.2,1710085353.1,True
Panama Canal,unknown,6.48,6,18,6,1,12,400.0,458.0,1706465782.0,True
Panama Canal,container,9.72,8,1,3,1,22,400.0,378.5,1704332979.1,True
Panama Canal,bulker,13.28,11,6,2,2,37,400.0,647.9,1707287844.4,True
Panama Canal,bulker,12.93,10,7,3,1,33,400.0,586.5,1706169371.4,True
Panama Canal,container,16.52,10,5,3,2,41,400.0,544.7,1707976034.4,True
Panama Canal,other,11.81,8,6,3,3,32,400.0,457.6,1711608143.8,True
Panama Canal,unknown,10.76,15,15,3,3,50,400.0,893.6,1710429735.9,True
Panama Canal,tanker,13.34,6,7,5,1,21,400.0,491.6,1704524806.2,True
Panama Canal,tanker,11.56,5,16,3,1,21,400.0,478.9,1704990035.2,True
Panama Canal,unknown,8.64,7,20,4,2,32,400.0,510.2,1707509293.2,True
Panama Canal,unknown,18.03,14,0,6,3,39,400.0,607.4,1711239453.0,True
Panama Canal,unknown,7.96,8,17,5,2,33,400.0,498.7,1707585453.0,True
Panama Canal,container,16.3,8,11,3,1,26,400.0,317.3,1704368530.4,True
Panama Canal,bulker,9.83,9,20,1,3,23,400.0,596.4,1710881054.0,True
Panama Canal,tanker,11.43,10,4,5,2,36,400.0,580.5,1706935598.3,True
Panama Canal,bulker,10.56,7,2,3,2,29,400.0,544.6,1706752901.3,True
Panama Canal,container,12.53,11,21,4,3,55,400.0,600.3,1711141786.0,True
Panama Canal,other,11.03,6,8,1,1,16,400.0,420.6,1704788699.7,True
Panama Canal,other,11.21,6,14,0,2,16,400.0,345.5,1708957899.8,True
Panama Canal,container,11.69,18,11,5,1,65,400.0,656.2,1705748910.2,True
Panama Canal,other,10.9,5,9,4,1,21,400.0,332.3,1705656299.8,True
Panama Canal,bulker,13.36,4,17,0,3,12,400.0,368.7,1709574042.6,True
Panama Canal,other,8.41,14,10,0,1,53,400.0,702.6,1704104970.7,True
Panama Canal,container,11.62,11,5,1,1,45,400.0,582.3,1706591629.2,True
Panama Canal,bulker,12.19,9,14,6,2,27,400.0,600.8,1707058498.7,True
Panama Canal,container,8.27,11,17,5,3,17,400.0,609.1,1711215253.6,True
Panama Canal,container,9.63,17,19,4,1,60,400.0,801.6,1705692069.9,True
Panama Canal,unknown,11.91,11,11,5,1,32,400.0,749.6,1705144802.4,True
Panama Canal,bulker,14.01,14,7,1,1,49,400.0,782.6,1705391601.2,True
Panama Canal,tanker,10.23,7,4,5,3,18,400.0,443.2,1710564282.8,True
Panama Canal,container,15.84,8,8,3,2,26,400.0,553.8,1707381674.9,True
Panama Canal,container,11.14,15,15,4,1,47,400.0,680.5,1704469606.0,True
Panama Canal,bulker,12.05,8,23,4,2,12,400.0,612.7,1706917734.3,True
Panama Canal,tanker,14.67,1,11,6,1,0,400.0,417.0,1705233144.9,True
